node,node_name,atlas_label,atlas_value,atlas_version
1,AAL_001,Precentral_L,1,AAL3v1/AAL3v2 labels
2,AAL_002,Precentral_R,2,AAL3v1/AAL3v2 labels
3,AAL_003,Frontal_Sup_2_L,3,AAL3v1/AAL3v2 labels
4,AAL_004,Frontal_Sup_2_R,4,AAL3v1/AAL3v2 labels
5,AAL_005,Frontal_Mid_2_L,5,AAL3v1/AAL3v2 labels
6,AAL_006,Frontal_Mid_2_R,6,AAL3v1/AAL3v2 labels
7,AAL_007,Frontal_Inf_Oper_L,7,AAL3v1/AAL3v2 labels
8,AAL_008,Frontal_Inf_Oper_R,8,AAL3v1/AAL3v2 labels
9,AAL_009,Frontal_Inf_Tri_L,9,AAL3v1/AAL3v2 labels
10,AAL_010,Frontal_Inf_Tri_R,10,AAL3v1/AAL3v2 labels
11,AAL_011,Frontal_Inf_Orb_2_L,11,AAL3v1/AAL3v2 labels
12,AAL_012,Frontal_Inf_Orb_2_R,12,AAL3v1/AAL3v2 labels
13,AAL_013,Rolandic_Oper_L,13,AAL3v1/AAL3v2 labels
14,AAL_014,Rolandic_Oper_R,14,AAL3v1/AAL3v2 labels
15,AAL_015,Supp_Motor_Area_L,15,AAL3v1/AAL3v2 labels
16,AAL_016,Supp_Motor_Area_R,16,AAL3v1/AAL3v2 labels
17,AAL_017,Olfactory_L,17,AAL3v1/AAL3v2 labels
18,AAL_018,Olfactory_R,18,AAL3v1/AAL3v2 labels
19,AAL_019,Frontal_Sup_Medial_L,19,AAL3v1/AAL3v2 labels
20,AAL_020,Frontal_Sup_Medial_R,20,AAL3v1/AAL3v2 labels
21,AAL_021,Frontal_Med_Orb_L,21,AAL3v1/AAL3v2 labels
22,AAL_022,Frontal_Med_Orb_R,22,AAL3v1/AAL3v2 labels
23,AAL_023,Rectus_L,23,AAL3v1/AAL3v2 labels
24,AAL_024,Rectus_R,24,AAL3v1/AAL3v2 labels
25,AAL_025,OFCmed_L,25,AAL3v1/AAL3v2 labels
26,AAL_026,OFCmed_R,26,AAL3v1/AAL3v2 labels
27,AAL_027,OFCant_L,27,AAL3v1/AAL3v2 labels
28,AAL_028,OFCant_R,28,AAL3v1/AAL3v2 labels
29,AAL_029,OFCpost_L,29,AAL3v1/AAL3v2 labels
30,AAL_030,OFCpost_R,30,AAL3v1/AAL3v2 labels
31,AAL_031,OFClat_L,31,AAL3v1/AAL3v2 labels
32,AAL_032,OFClat_R,32,AAL3v1/AAL3v2 labels
33,AAL_033,Insula_L,33,AAL3v1/AAL3v2 labels
34,AAL_034,Insula_R,34,AAL3v1/AAL3v2 labels
35,AAL_037,Cingulate_Mid_L,37,AAL3v1/AAL3v2 labels
36,AAL_038,Cingulate_Mid_R,38,AAL3v1/AAL3v2 labels
37,AAL_039,Cingulate_Post_L,39,AAL3v1/AAL3v2 labels
38,AAL_040,Cingulate_Post_R,40,AAL3v1/AAL3v2 labels
