new_id,orig_value,name,node_name
1,1,Precentral_L,AAL_001
2,2,Precentral_R,AAL_002
3,3,Frontal_Sup_2_L,AAL_003
4,4,Frontal_Sup_2_R,AAL_004
5,5,Frontal_Mid_2_L,AAL_005
6,6,Frontal_Mid_2_R,AAL_006
7,7,Frontal_Inf_Oper_L,AAL_007
8,8,Frontal_Inf_Oper_R,AAL_008
9,9,Frontal_Inf_Tri_L,AAL_009
10,10,Frontal_Inf_Tri_R,AAL_010
11,11,Frontal_Inf_Orb_2_L,AAL_011
12,12,Frontal_Inf_Orb_2_R,AAL_012
13,13,Rolandic_Oper_L,AAL_013
14,14,Rolandic_Oper_R,AAL_014
15,15,Supp_Motor_Area_L,AAL_015
16,16,Supp_Motor_Area_R,AAL_016
17,17,Olfactory_L,AAL_017
18,18,Olfactory_R,AAL_018
19,19,Frontal_Sup_Medial_L,AAL_019
20,20,Frontal_Sup_Medial_R,AAL_020
21,21,Frontal_Med_Orb_L,AAL_021
22,22,Frontal_Med_Orb_R,AAL_022
23,23,Rectus_L,AAL_023
24,24,Rectus_R,AAL_024
25,25,OFCmed_L,AAL_025
26,26,OFCmed_R,AAL_026
27,27,OFCant_L,AAL_027
28,28,OFCant_R,AAL_028
29,29,OFCpost_L,AAL_029
30,30,OFCpost_R,AAL_030
31,31,OFClat_L,AAL_031
32,32,OFClat_R,AAL_032
33,33,Insula_L,AAL_033
34,34,Insula_R,AAL_034
35,37,Cingulate_Mid_L,AAL_037
36,38,Cingulate_Mid_R,AAL_038
37,39,Cingulate_Post_L,AAL_039
38,40,Cingulate_Post_R,AAL_040
39,41,Hippocampus_L,AAL_041
40,42,Hippocampus_R,AAL_042
41,43,ParaHippocampal_L,AAL_043
42,44,ParaHippocampal_R,AAL_044
43,45,Amygdala_L,AAL_045
44,46,Amygdala_R,AAL_046
45,47,Calcarine_L,AAL_047
46,48,Calcarine_R,AAL_048
47,49,Cuneus_L,AAL_049
48,50,Cuneus_R,AAL_050
49,51,Lingual_L,AAL_051
50,52,Lingual_R,AAL_052
51,53,Occipital_Sup_L,AAL_053
52,54,Occipital_Sup_R,AAL_054
53,55,Occipital_Mid_L,AAL_055
54,56,Occipital_Mid_R,AAL_056
55,57,Occipital_Inf_L,AAL_057
56,58,Occipital_Inf_R,AAL_058
57,59,Fusiform_L,AAL_059
58,60,Fusiform_R,AAL_060
59,61,Postcentral_L,AAL_061
60,62,Postcentral_R,AAL_062
61,63,Parietal_Sup_L,AAL_063
62,64,Parietal_Sup_R,AAL_064
63,65,Parietal_Inf_L,AAL_065
64,66,Parietal_Inf_R,AAL_066
65,67,SupraMarginal_L,AAL_067
66,68,SupraMarginal_R,AAL_068
67,69,Angular_L,AAL_069
68,70,Angular_R,AAL_070
69,71,Precuneus_L,AAL_071
70,72,Precuneus_R,AAL_072
71,73,Paracentral_Lobule_L,AAL_073
72,74,Paracentral_Lobule_R,AAL_074
73,75,Caudate_L,AAL_075
74,76,Caudate_R,AAL_076
75,77,Putamen_L,AAL_077
76,78,Putamen_R,AAL_078
77,79,Pallidum_L,AAL_079
78,80,Pallidum_R,AAL_080
79,83,Heschl_L,AAL_083
80,84,Heschl_R,AAL_084
81,85,Temporal_Sup_L,AAL_085
82,86,Temporal_Sup_R,AAL_086
83,87,Temporal_Pole_Sup_L,AAL_087
84,88,Temporal_Pole_Sup_R,AAL_088
85,89,Temporal_Mid_L,AAL_089
86,90,Temporal_Mid_R,AAL_090
87,91,Temporal_Pole_Mid_L,AAL_091
88,92,Temporal_Pole_Mid_R,AAL_092
89,93,Temporal_Inf_L,AAL_093
90,94,Temporal_Inf_R,AAL_094
91,95,Cerebellum_Crus1_L,AAL_095
92,96,Cerebellum_Crus1_R,AAL_096
93,97,Cerebellum_Crus2_L,AAL_097
94,98,Cerebellum_Crus2_R,AAL_098
95,99,Cerebellum_3_L,AAL_099
96,100,Cerebellum_3_R,AAL_100
97,101,Cerebellum_4_5_L,AAL_101
98,102,Cerebellum_4_5_R,AAL_102
99,103,Cerebellum_6_L,AAL_103
100,104,Cerebellum_6_R,AAL_104
101,105,Cerebellum_7b_L,AAL_105
102,106,Cerebellum_7b_R,AAL_106
103,107,Cerebellum_8_L,AAL_107
104,108,Cerebellum_8_R,AAL_108
105,109,Cerebellum_9_L,AAL_109
106,110,Cerebellum_9_R,AAL_110
107,111,Cerebellum_10_L,AAL_111
108,112,Cerebellum_10_R,AAL_112
109,113,Vermis_1_2,AAL_113
110,114,Vermis_3,AAL_114
111,115,Vermis_4_5,AAL_115
112,116,Vermis_6,AAL_116
113,117,Vermis_7,AAL_117
114,118,Vermis_8,AAL_118
115,119,Vermis_9,AAL_119
116,120,Vermis_10,AAL_120
117,121,Thal_AV_L,AAL_121
118,122,Thal_AV_R,AAL_122
119,123,Thal_LP_L,AAL_123
120,124,Thal_LP_R,AAL_124
121,125,Thal_VA_L,AAL_125
122,126,Thal_VA_R,AAL_126
123,127,Thal_VL_L,AAL_127
124,128,Thal_VL_R,AAL_128
125,129,Thal_VPL_L,AAL_129
126,130,Thal_VPL_R,AAL_130
127,131,Thal_IL_L,AAL_131
128,132,Thal_IL_R,AAL_132
129,133,Thal_Re_L,AAL_133
130,134,Thal_Re_R,AAL_134
131,135,Thal_MDm_L,AAL_135
132,136,Thal_MDm_R,AAL_136
133,137,Thal_MDl_L,AAL_137
134,138,Thal_MDl_R,AAL_138
135,139,Thal_LGN_L,AAL_139
136,140,Thal_LGN_R,AAL_140
137,141,Thal_MGN_L,AAL_141
138,142,Thal_MGN_R,AAL_142
139,143,Thal_PuI_L,AAL_143
140,144,Thal_PuI_R,AAL_144
141,145,Thal_PuM_L,AAL_145
142,146,Thal_PuM_R,AAL_146
143,147,Thal_PuA_L,AAL_147
144,148,Thal_PuA_R,AAL_148
145,149,Thal_PuL_L,AAL_149
146,150,Thal_PuL_R,AAL_150
147,151,ACC_sub_L,AAL_151
148,152,ACC_sub_R,AAL_152
149,153,ACC_pre_L,AAL_153
150,154,ACC_pre_R,AAL_154
151,155,ACC_sup_L,AAL_155
152,156,ACC_sup_R,AAL_156
153,157,N_Acc_L,AAL_157
154,158,N_Acc_R,AAL_158
155,159,VTA_L,AAL_159
156,160,VTA_R,AAL_160
157,161,SN_pc_L,AAL_161
158,162,SN_pc_R,AAL_162
159,163,SN_pr_L,AAL_163
160,164,SN_pr_R,AAL_164
161,165,Red_N_L,AAL_165
162,166,Red_N_R,AAL_166
163,167,LC_L,AAL_167
164,168,LC_R,AAL_168
165,169,Raphe_D,AAL_169
166,170,Raphe_M,AAL_170
