description,rank
MT1; GradWarp; N3m <- ACCELERATED SAG IR-SPGR,1
MT1; GradWarp; N3m <- Accelerated SAG IR-FSPGR,1
MT1; GradWarp; N3m <- Accelerated SAG IR-SPGR,1
MT1; GradWarp; N3m <- Accelerated SAG IR-SPGR REPEAT,1
MT1; GradWarp; N3m <- Accelerated Sag IR-FSPGR,1
MT1; GradWarp; N3m <- Accelerated Sag IR-SPGR,1
MT1; GradWarp; N3m <- Accelerated Sagittal MPRAGE_ND,1
MT1; GradWarp; N3m <- IR-FSPGR,1
MT1; GradWarp; N3m <- IR-FSPGR (replaces MP-Rage),1
MT1; GradWarp; N3m <- IR-FSPGR REPEAT,1
MT1; GradWarp; N3m <- IR-FSPGR-Repeat,1
MT1; GradWarp; N3m <- IR-SPGR,1
MT1; GradWarp; N3m <- IR-SPGR w/acceleration,1
MT1; GradWarp; N3m <- MP RAGE,1
MT1; GradWarp; N3m <- MP RAGE SAGITTAL,1
MT1; GradWarp; N3m <- MP RAGE SAGITTAL REPEAT,1
MT1; GradWarp; N3m <- MP-RAGE,1
MT1; GradWarp; N3m <- MP-RAGE #3,1
MT1; GradWarp; N3m <- MP-RAGE REPEAT,1
MT1; GradWarp; N3m <- MP-RAGE repeat,1
MT1; GradWarp; N3m <- MP-RAGE-Repeat,1
MT1; GradWarp; N3m <- MPRAGE,1
MT1; GradWarp; N3m <- MPRAGE GRAPPA 2_ND,1
MT1; GradWarp; N3m <- MPRAGE GRAPPA2,1
MT1; GradWarp; N3m <- MPRAGE Repeat,1
MT1; GradWarp; N3m <- MPRAGE Repeat rpt,1
MT1; GradWarp; N3m <- MPRAGE rpt,1
MT1; GradWarp; N3m <- MPRAGE_ NO ANGLE,1
MT1; GradWarp; N3m <- MPRAGE_ NO ANGLE=,1
MT1; GradWarp; N3m <- MPRAGE_ Sag  - NO ANGLE=,1
MT1; GradWarp; N3m <- MPRAGE_GRAPPA2,1
MT1; GradWarp; N3m <- MPRAGE_ND,1
