"year","title","journal","doi_or_url","study_type","cohort","modality","methods","main finding","relevance_to_current_claim","novelty_status","limitations"
"2011","A meta-analysis of diffusion tensor imaging in mild cognitive impairment and Alzheimer's disease","Neurobiology of Aging","https://doi.org/10.1016/j.neurobiolaging.2010.05.019","systematic review and meta-analysis","41 case-control DTI studies","DTI","regional meta-analysis of FA and MD","AD showed widespread lower FA and higher MD; MCI effects were already present but less extensive","Any claim that FA or MD separates CN, MCI and AD must be framed as replication or refinement","established prior art","Substantial acquisition and analysis heterogeneity; mainly clinically defined groups"
"2012","New MRI Markers for Alzheimer's Disease: A Meta-Analysis of Diffusion Tensor Imaging and a Comparison with Medial Temporal Lobe Measurements","Journal of Alzheimer's Disease","https://doi.org/10.3233/JAD-2011-110797","systematic review and meta-analysis","55 DTI studies with 2791 participants; 76 medial temporal atrophy studies with 8122 participants","DTI and structural MRI","meta-analysis of diagnostic contrasts","DTI abnormalities were widespread and complementary to medial temporal atrophy","DTI-only differentiation is mature literature and not a novel premise","established prior art","Study-level heterogeneity and mostly cross-sectional clinical diagnosis"
"2014","Diffusion tensor imaging of white matter degeneration in Alzheimer's disease and mild cognitive impairment","Neuroscience","https://doi.org/10.1016/j.neuroscience.2014.02.017","narrative review","human AD and MCI literature","DTI","review of ROI, voxelwise and tract-based findings","Convergent damage involves limbic and late-myelinating association pathways but metric interpretation is nonspecific","Supports a multilevel story while warning against calling FA integrity","established prior art","Narrative rather than quantitative synthesis"
"2017","Graph Theory and Brain Connectivity in Alzheimer's Disease","The Neuroscientist","https://doi.org/10.1177/1073858417702621","narrative review","structural and functional connectome studies","multimodal MRI and PET","graph-theory review","AD is consistently framed as a network-disconnection disorder, with hub and efficiency abnormalities","Generic graph disruption is not novel","established prior art","Mixed modalities and heterogeneous graph construction"
"2020","Imaging Alzheimer's genetic risk using diffusion MRI: A systematic review","NeuroImage: Clinical","https://doi.org/10.1016/j.nicl.2020.102359","systematic review","human genetic-risk diffusion studies","dMRI","systematic synthesis of APOE and polygenic-risk studies","Genetic risk is associated with subtle, spatially heterogeneous diffusion differences before dementia","APOE or genetic moderation is already a substantial literature","established prior art","Small heterogeneous studies and inconsistent diffusion models"
"2020","Machine Learning for the Classification of Alzheimer's Disease and Its Prodromal Stage Using Brain Diffusion Tensor Imaging Data: A Systematic Review","Processes","https://doi.org/10.3390/pr8091071","systematic review","DTI machine-learning studies through 2020","DTI and multimodal MRI","review of feature engineering, classifiers and validation","Many high reported accuracies were based on small cohorts and heterogeneous validation","A classifier alone, even if accurate internally, is not a biological novelty claim","established prior art","Quality of included evidence varied; external validation uncommon"
"2021","The human connectome in Alzheimer disease — relationship to biomarkers and genetics","Nature Reviews Neurology","https://doi.org/10.1038/s41582-021-00529-1","state-of-the-art review","human multimodal connectome literature","dMRI, fMRI, PET and genetics","mechanistic review of hubs, pathology spread and biomarkers","Amyloid preferentially involves hubs and tau spread is constrained by connectivity; connectome models link pathology to progression","Pathology-connectome-cognition framing is established; novelty must be an exact conditional or longitudinal result","established prior art","Review integrates structural and functional evidence, not all subject-specific dMRI"
"2023","Abnormal white matter changes in Alzheimer's disease based on diffusion tensor imaging: A systematic review","Ageing Research Reviews","https://doi.org/10.1016/j.arr.2023.101911","systematic review","multilevel DTI studies across SCD, MCI and AD","DTI","voxelwise, tractwise, networkwise and classification synthesis","Corpus callosum, fornix, medial temporal lobe, hippocampus and cingulum recur across levels","Limbic involvement and stage gradients cannot be claimed as new","established prior art","Reported classification values inherit primary-study leakage and cohort limitations"
"2023","Topologically convergent and divergent large scale complex networks among Alzheimer's disease spectrum patients: A systematic review","Heliyon","https://doi.org/10.1016/j.heliyon.2023.e15389","systematic review","96 graph-theory studies","multimodal structural and functional networks","PRISMA-style synthesis","Convergent deficits center on the default-mode network, while modality-specific neighboring changes diverge","A broad DMN or topology claim is saturated","established prior art","Combines dMRI, morphometric covariance and functional networks; methods are not interchangeable"
"2023","Disentangling in-vivo microstructural changes of white and gray matter in mild cognitive impairment and Alzheimer's disease: a systematic review and meta-analysis","Brain Imaging and Behavior","https://doi.org/10.1007/s11682-023-00805-2","systematic review and meta-analysis","10 NODDI studies","NODDI and dMRI","meta-analysis of NDI, ODI and isotropic fraction","NODDI abnormalities recur in cingulum, uncinate, posterior thalamic radiation, superior longitudinal fasciculus and hippocampal regions","NODDI sensitivity is prior art; an exact network-level integration may still be testable","established prior art","Only ten heterogeneous studies; limited longitudinal evidence"
"2025","The whole-brain structural and functional connectome in Alzheimer's disease spectrum: A multimodal Bayesian meta-analysis of graph theoretical characteristics","Neuroscience & Biobehavioral Reviews","https://doi.org/10.1016/j.neubiorev.2025.106174","Bayesian meta-analysis","53 studies including 16 structural-network studies","dMRI and functional imaging","Bayesian meta-analysis of global graph metrics","AD showed lower structural integration and segregation; preclinical AD also showed reduced integration","Global efficiency, path length, clustering and local efficiency are no longer candidate novelty claims","established prior art","Only metrics reported often enough could be pooled; graph pipelines remained heterogeneous"
"2026","The Role of Magnetic Resonance Spectroscopy, Diffusion-Tensor-Imaging and Structural MRI in Alzheimer's Disease and Mild Cognitive Impairment Diagnosis: A Review","Journal of Magnetic Resonance Imaging","https://doi.org/10.1002/jmri.70296","narrative review","human MRI studies","MRS, DTI and structural MRI","multimodal review","DTI contributes complementary microstructural information but requires multimodal and longitudinal validation","Supports positioning diffusion as one layer rather than a standalone diagnostic truth","established prior art","Very recent review; not a quantitative absence test"
"2007","Diffusion tensor imaging of cingulum fibers in mild cognitive impairment and Alzheimer disease","Neurology","https://doi.org/10.1212/01.wnl.0000250326.77323.01","primary cross-sectional study","17 AD, 17 MCI, 18 controls","DTI and structural MRI","cingulum and corpus-callosum ROI analysis","Cingulum FA showed a CN to MCI to AD gradient; combining DTI with hippocampal volume improved discrimination","Direct prior art against a novel cingulum or limbic-FA claim","established prior art","Small sample and ROI selection; clinical rather than biomarker definition"
